eco	name	fen	moves
C00	Queen's Pawn Game: Franco-Sicilian Defense	rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 c7c5
C00	Rat Defense: Small Center Defense	rnbqkbnr/ppp2ppp/3pp3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	d2d4 e7e6 e2e4 d7d6
C00	Sicilian Defense: Drazic Variation	rnbqkbnr/1p1p1ppp/p3p3/2p5/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -	e2e4 e7e6 d2d4 c7c5 g1f3 a7a6
C00	St. George Defense	rnbqkbnr/1ppp1ppp/p3p3/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 a7a6
C00	St. George Defense: New St. George, Sanky-George Gambit	rnbqkbnr/2pp1ppp/p3p3/1p6/2PPP3/8/PP3PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 a7a6 c2c4 b7b5
C00	St. George Defense: New St. George, Three Pawn Attack	rnbqkbnr/1ppp1ppp/p3p3/8/2PPP3/8/PP3PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 a7a6 c2c4
C00	St. George Defense: New St. George, Traditional Line	rn1qkb1r/1b1p1ppp/p3pn2/1pp5/3PP3/2PB1N2/PP3PPP/RNBQ1RK1 w kq -	e2e4 e7e6 d2d4 a7a6 g1f3 b7b5 f1d3 c7c5 c2c3 c8b7 e1g1 g8f6
C00	St. George Defense: St. George Gambit	rnbqkbnr/2pp1ppp/4p3/1p6/3PP3/8/PP3PPP/RNBQKBNR w KQkq -	e2e4 e7e6 d2d4 a7a6 c2c4 b7b5 c4b5 a6b5
C01	French Defense: Exchange Variation	rnbqkbnr/ppp2ppp/4p3/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4d5
C01	French Defense: Exchange Variation, Bogoljubov Variation	r1bqkb1r/ppp2ppp/2n2n2/3p2B1/3P4/2N5/PPP2PPP/R2QKBNR w KQkq -	e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 b1c3 g8f6 c1g5 b8c6
C01	French Defense: Exchange Variation, Monte Carlo Variation	rnbqkbnr/ppp2ppp/8/3p4/2PP4/8/PP3PPP/RNBQKBNR b KQkq -	e2e4 e7e6 d2d4 d7d5 e4d5 e6d5 c2c4
