eco	name	pgn	uci	epd
B00	Nimzowitsch Defense: El Columpio Defense, Pin Variation	1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. Bb5	e2e4 b8c6 g1f3 g8f6 e4e5 f6g4 d2d4 d7d6 h2h3 g4h6 f1b5	r1bqkb1r/ppp1pppp/2np3n/1B2P3/3P4/5N1P/PPP2PP1/RNBQK2R b KQkq -
B00	Nimzowitsch Defense: Franco-Hiva Gambit	1. e4 Nc6 2. d4 e6 3. Nc3 f5 4. exf5 Nf6	e2e4 b8c6 d2d4 e7e6 b1c3 f7f5 e4f5 g8f6	r1bqkb1r/pppp2pp/2n1pn2/5P2/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -
B00	Nimzowitsch Defense: Franco-Hiva Gambit	1. e4 Nc6 2. d4 e6 3. Nf3 f5 4. exf5 Nf6	e2e4 b8c6 d2d4 e7e6 g1f3 f7f5 e4f5 g8f6	r1bqkb1r/pppp2pp/2n1pn2/5P2/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -
B00	Nimzowitsch Defense: Franco-Nimzowitsch Variation	1. e4 Nc6 2. Nf3 e6	e2e4 b8c6 g1f3 e7e6	r1bqkbnr/pppp1ppp/2n1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -
B00	Nimzowitsch Defense: French Connection	1. e4 Nc6 2. Nc3 e6	e2e4 b8c6 b1c3 e7e6	r1bqkbnr/pppp1ppp/2n1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -
B00	Nimzowitsch Defense: Hornung Gambit	1. e4 Nc6 2. d4 d5 3. Be3	e2e4 b8c6 d2d4 d7d5 c1e3	r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq -
B00	Nimzowitsch Defense: Kennedy Variation	1. e4 Nc6 2. d4 e5	e2e4 b8c6 d2d4 e7e5	r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Bielefelder Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 Bc5	e2e4 b8c6 d2d4 e7e5 d4e5 f8c5	r1bqk1nr/pppp1ppp/2n5/2b1P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Hammer Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 f6	e2e4 b8c6 d2d4 e7e5 d4e5 f7f6	r1bqkbnr/pppp2pp/2n2p2/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Herford Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 Qh4	e2e4 b8c6 d2d4 e7e5 d4e5 d8h4	r1b1kbnr/pppp1ppp/2n5/4P3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Keres Attack	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nc3	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 b1c3	r1bqkbnr/pppp1ppp/8/4n3/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation	1. e4 Nc6 2. d4 e5 3. d5	e2e4 b8c6 d2d4 e7e5 d4d5	r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Main Line	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Ng6	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5g6	r1bqkbnr/pppp1ppp/6n1/8/4PP2/8/PPP3PP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Paulsen Attack	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nf3	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 g1f3	r1bqkbnr/pppp1ppp/8/4n3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, Riemann Defense	1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Nc6	e2e4 b8c6 d2d4 e7e5 d4e5 c6e5 f2f4 e5c6	r1bqkbnr/pppp1ppp/2n5/8/4PP2/8/PPP3PP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Kennedy Variation, de Smet Gambit	1. e4 Nc6 2. d4 e5 3. dxe5 d6	e2e4 b8c6 d2d4 e7e5 d4e5 d7d6	r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Mikenas Variation	1. e4 Nc6 2. d4 d6	e2e4 b8c6 d2d4 d7d6	r1bqkbnr/ppp1pppp/2np4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Neo-Mongoloid Defense	1. e4 Nc6 2. d4 f6	e2e4 b8c6 d2d4 f7f6	r1bqkbnr/ppppp1pp/2n2p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -
B00	Nimzowitsch Defense: Pirc Connection	1. e4 Nc6 2. Nc3 g6	e2e4 b8c6 b1c3 g7g6	r1bqkbnr/pppppp1p/2n3p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq -
